tourist_id,age,sex,nationality,trip_start,trip_end,itinerary,emergency_contact_hash
2dc98b04-c5a1-42e5-8404-6a01bfb22b00,56,F,Canadian,2025-08-20T21:03:52.518049,2025-09-02T21:03:52.518049,"[{'lat': 12.311825797504024, 'lng': 76.6328081533307, 'planned_arrival_iso': '2025-08-21T03:03:52.518049', 'name': 'Railway Station Area'}, {'lat': 12.266591218659764, 'lng': 76.66784830192822, 'planned_arrival_iso': '2025-08-21T09:03:52.518049', 'name': 'Chamundi Hills'}, {'lat': 12.319723781203459, 'lng': 76.67048714967615, 'planned_arrival_iso': '2025-08-21T15:03:52.518049', 'name': 'Mysuru Palace'}, {'lat': 12.29945082167487, 'lng': 76.63587712470759, 'planned_arrival_iso': '2025-08-21T19:03:52.518049', 'name': ""St. Philomena's Church""}]",hash_b4d6129954a544a0
e35ce5d5-c873-4999-958c-92ec6eb87410,35,M,Italian,2025-08-20T21:03:52.533046,2025-08-21T21:03:52.533046,"[{'lat': 12.301414481439407, 'lng': 76.6501185733204, 'planned_arrival_iso': '2025-08-21T02:03:52.533046', 'name': 'Railway Station Area'}, {'lat': 12.282243223984764, 'lng': 76.67096011155775, 'planned_arrival_iso': '2025-08-21T09:03:52.533046', 'name': 'Chamundi Hills'}, {'lat': 12.432715427577094, 'lng': 76.57637612688228, 'planned_arrival_iso': '2025-08-21T12:03:52.533046', 'name': 'Brindavan Gardens'}, {'lat': 12.328371029143836, 'lng': 76.65771108557787, 'planned_arrival_iso': '2025-08-21T18:03:52.533046', 'name': ""St. Philomena's Church""}, {'lat': 12.298241326585883, 'lng': 76.653059502432, 'planned_arrival_iso': '2025-08-21T21:03:52.533046', 'name': 'Devaraja Market'}, {'lat': 12.243626128726936, 'lng': 76.76189016531107, 'planned_arrival_iso': '2025-08-22T03:03:52.533046', 'name': 'Outskirts Area'}, {'lat': 12.29260824938676, 'lng': 76.66081480696577, 'planned_arrival_iso': '2025-08-22T05:03:52.533046', 'name': 'Mysuru Palace'}, {'lat': 12.297266007316235, 'lng': 76.67026429792988, 'planned_arrival_iso': '2025-08-22T08:03:52.533046', 'name': 'Zoo'}]",hash_959ac1f8cb304636
705d198d-8255-4b96-931f-7e74b88753e4,29,F,Japanese,2025-09-08T21:03:52.553062,2025-09-20T21:03:52.553062,"[{'lat': 12.306844699479978, 'lng': 76.64025643349282, 'planned_arrival_iso': '2025-09-08T23:03:52.553062', 'name': 'Railway Station Area'}, {'lat': 12.27346178767822, 'lng': 76.6684044782094, 'planned_arrival_iso': '2025-09-09T03:03:52.553062', 'name': 'Chamundi Hills'}, {'lat': 12.245706977754827, 'lng': 76.74307579020126, 'planned_arrival_iso': '2025-09-09T05:03:52.553062', 'name': 'Outskirts Area'}, {'lat': 12.302550473892836, 'lng': 76.61556853815658, 'planned_arrival_iso': '2025-09-09T09:03:52.553062', 'name': ""St. Philomena's Church""}]",hash_03d99fd2266e4a62
b603afce-13e4-43f4-a325-515bfb7b658a,21,F,Indian,2025-08-15T21:03:52.561047,2025-08-25T21:03:52.561047,"[{'lat': 12.30681421499491, 'lng': 76.6454504934837, 'planned_arrival_iso': '2025-08-15T23:03:52.561047', 'name': 'Devaraja Market'}, {'lat': 12.302058944531153, 'lng': 76.68784412980473, 'planned_arrival_iso': '2025-08-16T03:03:52.561047', 'name': 'Zoo'}, {'lat': 12.28576558893214, 'lng': 76.6719879391331, 'planned_arrival_iso': '2025-08-16T08:03:52.561047', 'name': 'Mysuru Palace'}, {'lat': 12.299848907601136, 'lng': 76.65167882228177, 'planned_arrival_iso': '2025-08-16T13:03:52.561047', 'name': 'Railway Station Area'}, {'lat': 12.433191763014344, 'lng': 76.57277800019642, 'planned_arrival_iso': '2025-08-16T16:03:52.561047', 'name': 'Brindavan Gardens'}, {'lat': 12.270508796092228, 'lng': 76.68231650111925, 'planned_arrival_iso': '2025-08-16T21:03:52.561047', 'name': 'Chamundi Hills'}, {'lat': 12.235812914624525, 'lng': 76.75213645881513, 'planned_arrival_iso': '2025-08-16T23:03:52.561047', 'name': 'Outskirts Area'}]",hash_db409603bf6f4c97
73fd0225-1b72-4dd9-813f-b9e0dc9bb833,59,M,Japanese,2025-08-19T21:03:52.577061,2025-09-01T21:03:52.577061,"[{'lat': 12.257793490039054, 'lng': 76.74960980480623, 'planned_arrival_iso': '2025-08-19T23:03:52.577061', 'name': 'Outskirts Area'}, {'lat': 12.304732348940643, 'lng': 76.64187422058906, 'planned_arrival_iso': '2025-08-20T01:03:52.577061', 'name': 'Railway Station Area'}, {'lat': 12.290291475813156, 'lng': 76.7011141908714, 'planned_arrival_iso': '2025-08-20T06:03:52.577061', 'name': 'Zoo'}]",hash_561e20ea935645ce
37ee6bdb-1ad0-473c-bc64-5bc1e3526a9b,30,M,Spanish,2025-09-04T21:03:52.582049,2025-09-11T21:03:52.582049,"[{'lat': 12.324914544292534, 'lng': 76.6419561642932, 'planned_arrival_iso': '2025-09-04T23:03:52.582049', 'name': ""St. Philomena's Church""}, {'lat': 12.321314319753737, 'lng': 76.63517245142302, 'planned_arrival_iso': '2025-09-05T03:03:52.582049', 'name': 'Railway Station Area'}, {'lat': 12.301708777207299, 'lng': 76.6588006111527, 'planned_arrival_iso': '2025-09-05T10:03:52.582049', 'name': 'Mysuru Palace'}, {'lat': 12.300498420562613, 'lng': 76.65466742567162, 'planned_arrival_iso': '2025-09-05T12:03:52.582049', 'name': 'Devaraja Market'}, {'lat': 12.300769751455535, 'lng': 76.67471321933054, 'planned_arrival_iso': '2025-09-05T16:03:52.582049', 'name': 'Zoo'}]",hash_acc7f55958b64f3a
d06bbe10-d1b8-4bbd-9891-64846e65b20a,49,F,British,2025-08-17T21:03:52.592064,2025-08-22T21:03:52.592064,"[{'lat': 12.27043078192003, 'lng': 76.66845418921885, 'planned_arrival_iso': '2025-08-18T02:03:52.592064', 'name': 'Chamundi Hills'}, {'lat': 12.299333493685893, 'lng': 76.64067888538837, 'planned_arrival_iso': '2025-08-18T09:03:52.592064', 'name': 'Railway Station Area'}, {'lat': 12.301006915259043, 'lng': 76.66515924511796, 'planned_arrival_iso': '2025-08-18T11:03:52.592064', 'name': 'Mysuru Palace'}, {'lat': 12.244430711923151, 'lng': 76.74339968043274, 'planned_arrival_iso': '2025-08-18T13:03:52.592064', 'name': 'Outskirts Area'}, {'lat': 12.285188241747104, 'lng': 76.6449385848342, 'planned_arrival_iso': '2025-08-18T17:03:52.592064', 'name': 'Devaraja Market'}, {'lat': 12.299349926386336, 'lng': 76.69282683516984, 'planned_arrival_iso': '2025-08-18T21:03:52.592064', 'name': 'Zoo'}, {'lat': 12.418444650648162, 'lng': 76.58330533077331, 'planned_arrival_iso': '2025-08-19T00:03:52.592064', 'name': 'Brindavan Gardens'}, {'lat': 12.318308843829918, 'lng': 76.63227407333171, 'planned_arrival_iso': '2025-08-19T06:03:52.592064', 'name': ""St. Philomena's Church""}]",hash_caa623c549344b11
f4f81e13-15a3-4b7d-93d3-ed69e81924a0,69,F,Italian,2025-09-08T21:03:52.616586,2025-09-11T21:03:52.616586,"[{'lat': 12.244942739970696, 'lng': 76.76176696993167, 'planned_arrival_iso': '2025-09-09T03:03:52.616586', 'name': 'Outskirts Area'}, {'lat': 12.42212893992219, 'lng': 76.57288242445972, 'planned_arrival_iso': '2025-09-09T10:03:52.616586', 'name': 'Brindavan Gardens'}, {'lat': 12.305782163895987, 'lng': 76.65088723413376, 'planned_arrival_iso': '2025-09-09T13:03:52.616586', 'name': 'Railway Station Area'}, {'lat': 12.269879240340899, 'lng': 76.67982034945656, 'planned_arrival_iso': '2025-09-09T15:03:52.616586', 'name': 'Chamundi Hills'}, {'lat': 12.307445818144775, 'lng': 76.66036538363336, 'planned_arrival_iso': '2025-09-09T17:03:52.616586', 'name': 'Devaraja Market'}, {'lat': 12.285168751805932, 'lng': 76.67039422847144, 'planned_arrival_iso': '2025-09-09T23:03:52.616586', 'name': 'Zoo'}, {'lat': 12.308092519932599, 'lng': 76.64831637753852, 'planned_arrival_iso': '2025-09-10T05:03:52.616586', 'name': 'Mysuru Palace'}, {'lat': 12.324234194635025, 'lng': 76.63535461216308, 'planned_arrival_iso': '2025-09-10T08:03:52.616586', 'name': ""St. Philomena's Church""}]",hash_791c56f7283140e8
126f288c-5e78-49bf-af06-e7036abc2d2a,25,Other,British,2025-08-12T21:03:52.639600,2025-08-18T21:03:52.639600,"[{'lat': 12.299980893385147, 'lng': 76.65560453184452, 'planned_arrival_iso': '2025-08-13T00:03:52.639600', 'name': 'Mysuru Palace'}, {'lat': 12.239110045137945, 'lng': 76.75290959629658, 'planned_arrival_iso': '2025-08-13T04:03:52.639600', 'name': 'Outskirts Area'}, {'lat': 12.296150455732018, 'lng': 76.68661518046379, 'planned_arrival_iso': '2025-08-13T06:03:52.639600', 'name': 'Zoo'}, {'lat': 12.317180906109911, 'lng': 76.62439518862224, 'planned_arrival_iso': '2025-08-13T11:03:52.639600', 'name': 'Railway Station Area'}]",hash_2774ad99973e46e5
fb6a648a-6a84-4039-9a97-f1f96b38d556,63,M,Italian,2025-09-02T21:03:52.645603,2025-09-13T21:03:52.645603,"[{'lat': 12.29533080214094, 'lng': 76.66681908780738, 'planned_arrival_iso': '2025-09-03T01:03:52.645603', 'name': 'Devaraja Market'}, {'lat': 12.300533023849766, 'lng': 76.65848993513809, 'planned_arrival_iso': '2025-09-03T07:03:52.645603', 'name': 'Mysuru Palace'}, {'lat': 12.292192864055014, 'lng': 76.67383198628163, 'planned_arrival_iso': '2025-09-03T09:03:52.645603', 'name': 'Chamundi Hills'}, {'lat': 12.423981199450349, 'lng': 76.5733633767511, 'planned_arrival_iso': '2025-09-03T15:03:52.645603', 'name': 'Brindavan Gardens'}, {'lat': 12.30696972922207, 'lng': 76.64443960152985, 'planned_arrival_iso': '2025-09-03T18:03:52.645603', 'name': 'Railway Station Area'}, {'lat': 12.252239268739466, 'lng': 76.73053474713642, 'planned_arrival_iso': '2025-09-04T01:03:52.645603', 'name': 'Outskirts Area'}]",hash_c2e0922123674768
7e852359-077a-4d79-bc0c-a813babcdbb3,46,M,French,2025-08-24T21:03:52.666584,2025-09-07T21:03:52.666584,"[{'lat': 12.42877492015871, 'lng': 76.58726255709222, 'planned_arrival_iso': '2025-08-25T01:03:52.666584', 'name': 'Brindavan Gardens'}, {'lat': 12.296661215948744, 'lng': 76.64588046260428, 'planned_arrival_iso': '2025-08-25T04:03:52.666584', 'name': 'Railway Station Area'}, {'lat': 12.288603870705664, 'lng': 76.66246078756045, 'planned_arrival_iso': '2025-08-25T08:03:52.666584', 'name': 'Mysuru Palace'}, {'lat': 12.296011661302407, 'lng': 76.66059935550429, 'planned_arrival_iso': '2025-08-25T15:03:52.666584', 'name': 'Devaraja Market'}, {'lat': 12.308057147380595, 'lng': 76.6528562058549, 'planned_arrival_iso': '2025-08-25T20:03:52.666584', 'name': ""St. Philomena's Church""}]",hash_da8f385f71f040f4
974092de-a3e0-4cba-88a6-f6cfabc8bb1f,37,M,French,2025-09-01T21:03:52.681600,2025-09-10T21:03:52.681600,"[{'lat': 12.249983782830366, 'lng': 76.74822831884886, 'planned_arrival_iso': '2025-09-02T03:03:52.681600', 'name': 'Outskirts Area'}, {'lat': 12.301921311483316, 'lng': 76.69584102468747, 'planned_arrival_iso': '2025-09-02T05:03:52.681600', 'name': 'Zoo'}, {'lat': 12.30262045792672, 'lng': 76.65030031853851, 'planned_arrival_iso': '2025-09-02T09:03:52.681600', 'name': 'Mysuru Palace'}, {'lat': 12.425388192211797, 'lng': 76.58045793348211, 'planned_arrival_iso': '2025-09-02T16:03:52.681600', 'name': 'Brindavan Gardens'}, {'lat': 12.316278494683186, 'lng': 76.64183526287478, 'planned_arrival_iso': '2025-09-02T23:03:52.681600', 'name': ""St. Philomena's Church""}]",hash_7b1031592abf4b54
1793d1c3-3f82-49d3-a7a3-3cf71fe68a18,32,M,German,2025-09-08T21:03:52.702606,2025-09-16T21:03:52.702606,"[{'lat': 12.420815203590697, 'lng': 76.57232163143162, 'planned_arrival_iso': '2025-09-09T00:03:52.702606', 'name': 'Brindavan Gardens'}, {'lat': 12.304735950812617, 'lng': 76.67526803054963, 'planned_arrival_iso': '2025-09-09T05:03:52.702606', 'name': 'Devaraja Market'}, {'lat': 12.307368738612455, 'lng': 76.64413414673389, 'planned_arrival_iso': '2025-09-09T08:03:52.702606', 'name': 'Railway Station Area'}, {'lat': 12.282709375680362, 'lng': 76.6710346796345, 'planned_arrival_iso': '2025-09-09T12:03:52.702606', 'name': 'Chamundi Hills'}, {'lat': 12.246653961454697, 'lng': 76.75565632901886, 'planned_arrival_iso': '2025-09-09T15:03:52.702606', 'name': 'Outskirts Area'}, {'lat': 12.331247495353706, 'lng': 76.66030761146202, 'planned_arrival_iso': '2025-09-09T17:03:52.702606', 'name': ""St. Philomena's Church""}, {'lat': 12.31879353125761, 'lng': 76.69060829340314, 'planned_arrival_iso': '2025-09-09T22:03:52.702606', 'name': 'Zoo'}, {'lat': 12.309991305566493, 'lng': 76.65565170637872, 'planned_arrival_iso': '2025-09-10T01:03:52.702606', 'name': 'Mysuru Palace'}]",hash_b41aa41a9d754799
ba99101e-2d49-4234-8195-02c7bf7a6509,29,M,Spanish,2025-08-17T21:03:52.735697,2025-08-19T21:03:52.735697,"[{'lat': 12.296507810612924, 'lng': 76.64924975859651, 'planned_arrival_iso': '2025-08-18T01:03:52.735697', 'name': 'Devaraja Market'}, {'lat': 12.301217934046306, 'lng': 76.621091711322, 'planned_arrival_iso': '2025-08-18T04:03:52.735697', 'name': 'Railway Station Area'}, {'lat': 12.222705956150763, 'lng': 76.75005205261895, 'planned_arrival_iso': '2025-08-18T10:03:52.735697', 'name': 'Outskirts Area'}, {'lat': 12.322270605720302, 'lng': 76.6505045495278, 'planned_arrival_iso': '2025-08-18T15:03:52.735697', 'name': ""St. Philomena's Church""}, {'lat': 12.266794454302858, 'lng': 76.66779591259873, 'planned_arrival_iso': '2025-08-18T19:03:52.735697', 'name': 'Chamundi Hills'}, {'lat': 12.427562737802598, 'lng': 76.58796214785205, 'planned_arrival_iso': '2025-08-19T00:03:52.735697', 'name': 'Brindavan Gardens'}, {'lat': 12.303126411908476, 'lng': 76.67109969450954, 'planned_arrival_iso': '2025-08-19T03:03:52.735697', 'name': 'Zoo'}]",hash_807e504c57144d61
eb018d75-96f3-42bc-a406-21c434d92e1d,27,M,American,2025-08-27T21:03:52.767697,2025-08-30T21:03:52.767697,"[{'lat': 12.30834349661348, 'lng': 76.63672595039961, 'planned_arrival_iso': '2025-08-28T01:03:52.767697', 'name': 'Devaraja Market'}, {'lat': 12.24412567985711, 'lng': 76.73895130413214, 'planned_arrival_iso': '2025-08-28T04:03:52.767697', 'name': 'Outskirts Area'}, {'lat': 12.31716909808165, 'lng': 76.635532737045, 'planned_arrival_iso': '2025-08-28T07:03:52.767697', 'name': ""St. Philomena's Church""}]",hash_9402683668d94f8e
2d2c6e4f-8ad6-48fa-8b8b-b9967fc78cfc,35,Other,Spanish,2025-08-17T21:03:52.774697,2025-08-31T21:03:52.774697,"[{'lat': 12.293273597563077, 'lng': 76.67728398646483, 'planned_arrival_iso': '2025-08-18T01:03:52.774697', 'name': 'Zoo'}, {'lat': 12.306364669716288, 'lng': 76.6637136648805, 'planned_arrival_iso': '2025-08-18T08:03:52.774697', 'name': 'Devaraja Market'}, {'lat': 12.301568798199975, 'lng': 76.65540849492757, 'planned_arrival_iso': '2025-08-18T14:03:52.774697', 'name': 'Mysuru Palace'}, {'lat': 12.2998562155733, 'lng': 76.66074848465371, 'planned_arrival_iso': '2025-08-18T21:03:52.774697', 'name': 'Railway Station Area'}, {'lat': 12.246667740126377, 'lng': 76.73884915192924, 'planned_arrival_iso': '2025-08-19T01:03:52.774697', 'name': 'Outskirts Area'}, {'lat': 12.314860113398971, 'lng': 76.64655538876903, 'planned_arrival_iso': '2025-08-19T03:03:52.774697', 'name': ""St. Philomena's Church""}, {'lat': 12.278728186361091, 'lng': 76.6680021027104, 'planned_arrival_iso': '2025-08-19T05:03:52.774697', 'name': 'Chamundi Hills'}, {'lat': 12.431809543366715, 'lng': 76.56446464954054, 'planned_arrival_iso': '2025-08-19T10:03:52.774697', 'name': 'Brindavan Gardens'}]",hash_ddabe01d34a648a9
6c058386-9791-4278-aa67-deaa637277cd,50,M,Australian,2025-08-20T21:03:52.813225,2025-08-26T21:03:52.813225,"[{'lat': 12.270578564084342, 'lng': 76.67620559283866, 'planned_arrival_iso': '2025-08-21T00:03:52.813225', 'name': 'Chamundi Hills'}, {'lat': 12.3079907673013, 'lng': 76.63405243843215, 'planned_arrival_iso': '2025-08-21T03:03:52.813225', 'name': ""St. Philomena's Church""}, {'lat': 12.317229254474492, 'lng': 76.66039607917112, 'planned_arrival_iso': '2025-08-21T10:03:52.813225', 'name': 'Railway Station Area'}, {'lat': 12.290651089813108, 'lng': 76.69193689676301, 'planned_arrival_iso': '2025-08-21T17:03:52.813225', 'name': 'Zoo'}, {'lat': 12.287915199738293, 'lng': 76.64576140632472, 'planned_arrival_iso': '2025-08-21T23:03:52.813225', 'name': 'Mysuru Palace'}, {'lat': 12.447025688083354, 'lng': 76.56925284538164, 'planned_arrival_iso': '2025-08-22T04:03:52.813225', 'name': 'Brindavan Gardens'}]",hash_12386cdb0dfa4484
